checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,health_status,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,y
no checking,9,existing paid,business,1449.0,<100,4<=X<7,3,female div/dep/mar,none,2,car,27,none,own,2,skilled,1,none,yes,good,-0.9669771152347668,,0.6765463658298856,-0.9919697642757136,0.7408513360414626,0.6606903143185912,0.7430625812260552,0.3585574105499799,0.6618828794914132,0.4557311947664242,False
0<=X<200,18,existing paid,business,1941.0,>=1000,1<=X<4,4,male single,none,2,life insurance,35,none,own,1,unskilled resident,1,yes,yes,good,-0.21319328197967774,0.06209670912904633,0.41965648924132154,-0.48153364503195156,0.43306683901008125,0.892718171583441,0.7124205377533861,0.18027965567243076,0.9517828973861118,0.4844074444781371,False
no checking,12,no credits/all paid,furniture/equipment,2759.0,<100,>=7,2,male single,none,4,life insurance,34,none,own,2,skilled,1,none,yes,good,,-0.7172053585445689,0.8144512926887113,-0.42513484808139945,0.850916947034597,0.788578039991638,0.4536311200523063,0.5912829524159093,0.49823729169749575,0.7119201157946288,False
no checking,15,critical/other existing credit,furniture/equipment,1520.0,no known savings,>=7,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,good,-0.26547161517080736,0.18917330592848064,0.4382322909413219,0.5888572381933554,0.4470365021623065,0.182357417911428,0.1639342426773891,0.5303511176497244,0.9230994707581383,0.6890295076465862,False
0<=X<200,15,existing paid,radio/tv,1444.0,no known savings,<1,4,male single,none,1,life insurance,23,none,own,1,skilled,1,none,yes,good,-0.42752509953174406,0.5838648654451969,,,0.08837465693775293,0.5441301709867551,0.1669181404321356,0.25549688223152334,0.7792381883163241,0.3695334467604735,False
>=200,6,existing paid,furniture/equipment,2116.0,<100,1<=X<4,2,male single,none,2,real estate,41,none,own,1,skilled,1,yes,yes,good,-0.6330299512936893,-0.6311550019793242,0.7974755173325843,0.9993407393973738,0.6191962448861609,0.5001488699767176,0.7113946933046246,0.6620803453756409,0.6094185782298627,0.9985352849400011,True
no checking,24,existing paid,used car,2679.0,<100,<1,4,female div/dep/mar,none,1,no known property,29,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0.5541256693631144,0.16360138371443605,0.1661441165969768,-0.40170340496646545,0.9141505543100213,0.8010684413252777,0.45647578449833237,0.17473865383408171,0.1503845688232489,0.3764863640124144,False
<0,24,existing paid,new car,1371.0,no known savings,1<=X<4,4,female div/dep/mar,none,4,real estate,25,none,rent,1,skilled,1,none,yes,bad,0.5777729732462696,0.474558636406606,,-0.2779857838206932,0.8993884062822722,0.5314190525408997,0.7485445940697524,0.6129764772105609,0.29371365016556406,0.5067402726430202,True
0<=X<200,9,existing paid,furniture/equipment,2030.0,no known savings,4<=X<7,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,good,0.8988602216928337,0.774064869271374,0.5723908020966215,-0.9999477615557426,0.40408634812821076,0.996535219416203,0.9413964251453505,0.7622562923868598,0.4675912062435478,0.12816642846879112,True
<0,24,all paid,new car,2325.0,100<=X<500,4<=X<7,2,male single,none,3,car,32,bank,own,1,skilled,1,none,yes,good,-0.3039808539483181,0.9847892355630844,0.4407874744643375,0.3840753147242689,0.45687776829586324,0.27059572640485374,0.9197385260528218,0.04704309583693933,0.914954275584854,0.06834271611694454,False
no checking,12,existing paid,radio/tv,707.0,<100,1<=X<4,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,good,0.6205990057566159,-0.6544284794840125,0.7829465903992255,,0.7135961211642854,0.1795820976976702,0.5852075211958186,0.5066414219949542,0.12606428726439178,0.6647574033038411,False
no checking,24,critical/other existing credit,radio/tv,2578.0,>=1000,>=7,2,male single,none,2,car,34,none,own,1,skilled,1,none,yes,good,-0.5173609963626061,,,-0.2141119258109906,0.09475094818826257,0.15897480964000943,0.22069024292126538,0.20929325760778406,0.6383528082269473,0.0751102410646296,False
>=200,6,existing paid,new car,709.0,>=1000,<1,2,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no,good,,0.5834921324056455,,0.718897560894693,0.9039303050236273,0.7532282563083496,0.001503959045159431,0.8843986429577788,0.7201327637551506,0.37517984696303674,True
